lat,lng,station,description
53.5405937743,-113.4976929537,Bay,103 Street South
53.5411069402,-113.497461764,Bay,103 Street North
53.5409937296,-113.4992951222,Bay,104 Street North
53.540722,-113.4992951222,Bay,104 Street South
53.5405509508,-113.4937457087,Central,101 Street South
53.5411007659,-113.4922810942,Central,100A Street North
53.5411593057,-113.4914195039,Central,New Cambridge Lofts
53.5446471039,-113.4892871588,Churchill,102A Avenue and 99 Street
53.5434742045,-113.4901186874,Churchill,South end of Churchill Square
53.5429877731,-113.4881451928,Churchill,Winspear Box office
53.5406446464,-113.5045618666,Corona,107 Street South
53.5410767719,-113.5047577383,Corona,107 Street North
53.5410936258,-113.5058533745,Corona,Lock at 10pm
53.5410151425,-113.5063298649,Corona,Locked at 10pm. West end of platform is slightly east of this point.
53.535885184,-113.5106334606,Grandin,98 Avenue North. Extra entrance around corner.
53.535563987,-113.5101331114,Grandin,98 Avenue South
53.5354336857,-113.5087735336,Grandin,109 Street. Gov centre pedway.
53.5366584715,-113.5103059573,Grandin,110 Street West
53.5367290701,-113.5103062061,Grandin,110 Street East
